primary_name,primary_bioguide_id,num_bills_with_cross_party_cosponsors,rank
Amy Klobuchar,K000367,51,1
Bill Cassidy,C001075,49,2
John Cornyn,C001056,48,3
Chuck Grassley,G000386,43,4
Brian K. Fitzpatrick,F000466,42,5
Marsha Blackburn,B001243,41,6
Gary Peters,P000595,38,7
Catherine Cortez Masto,C001113,34,8
Jeanne Shaheen,S001181,31,9
Zachary Nunn,N000193,29,10
Thomas Roland Tillis,T000476,29,11
Jerry Moran,M000934,28,12
Jennifer A. Kiggans,K000399,25,13
Rick Scott,S001217,25,14
Nicole Malliotakis,M000317,25,15
Maggie Hassan,H001076,25,16
Michael Lawler,L000599,25,17
Vern Buchanan,B001260,24,18
Christopher A. Coons,C001088,24,19
Joe Neguse,N000191,24,20
Mike Rounds,R000605,24,21
Claudia Tenney,T000478,23,22
Jeff Merkley,M001176,22,23
Lisa Murkowski,M001153,22,24
Dan Sullivan,S001198,22,25
Richard J. Durbin,D000563,21,26
Alex Padilla,P000145,21,27
Young Kim,K000397,21,28
Todd Young,Y000064,21,29
Ted Cruz,C001098,21,30
Darin LaHood,L000585,20,31
Don Bacon,B001298,20,32
Joni Ernst,E000295,20,33
James Lankford,L000575,20,34
Roger F. Wicker,W000437,20,35
Randy Feenstra,F000446,20,36
Christopher H. Smith,S000522,19,37
Debbie Dingell,D000624,18,38
Jacky Rosen,R000608,18,39
Gerald E. Connolly,C001078,18,40
John W. Hickenlooper,H000273,17,41
Mike Kelly,K000376,17,42
Mariannette Miller-Meeks,M001215,17,43
John Barrasso,B001261,17,44
Jim Banks,B001299,17,45
Tammy Baldwin,B001230,16,46
Nicholas A. Langworthy,L000600,16,47
Pete Ricketts,R000618,16,48
Roger Marshall,M001198,16,49
Jimmy Panetta,P000613,16,50
Donald G. Davis,D000230,16,51
James E. Risch,R000584,16,52
Steve Daines,D000618,16,53
Glenn Thompson,T000467,15,54
John Thune,T000250,15,55
Salud O. Carbajal,C001112,15,56
Peter Welch,W000800,15,57
Kevin Cramer,C001096,15,58
Mike Carey,C001126,15,59
Chrissy Houlahan,H001085,15,60
Deb Fischer,F000463,15,61
Tim Scott,S001184,14,62
Adrian Smith,S001172,14,63
Jay Obernolte,O000019,14,64
Juan Ciscomani,C001133,14,65
Greg Stanton,S001211,14,66
Josh Gottheimer,G000583,13,67
Joe Wilson,W000795,13,68
Gregory F. Murphy,M001210,13,69
Timothy M. Kaine,K000384,13,70
Suzanne Bonamici,B001278,13,71
Ami Bera,B001287,13,72
John F. Reed,R000122,13,73
Andrew R. Garbarino,G000597,13,74
"Earl L. ""Buddy"" Carter",C001103,13,75
Josh Harder,H001090,13,76
Mark R. Warner,W000805,13,77
Josh Hawley,H001089,13,78
David P. Joyce,J000295,12,79
Mike Crapo,C000880,12,80
Michael Bennet,B001267,12,81
Marie Gluesenkamp Perez,G000600,12,82
John R. Moolenaar,M001194,12,83
Brittany Pettersen,P000620,12,84
John Curtis,C001114,12,85
Angus S. King,K000383,12,86
Gus M. Bilirakis,B001257,12,87
