name,bioguide_id,num_cross_party_cosponsored_bills,rank
Brian K. Fitzpatrick,F000466,433,1
Donald G. Davis,D000230,240,2
Jimmy Panetta,P000613,167,3
Eugene Simon Vindman,V000138,161,4
Josh Gottheimer,G000583,160,5
Michael Lawler,L000599,153,6
Thomas R. Suozzi,S001201,130,7
Don Bacon,B001298,126,8
Amy Klobuchar,K000367,117,9
Angie Craig,C001119,108,10
Josh Harder,H001090,107,11
Christopher A. Coons,C001088,106,12
Maggie Hassan,H001076,105,13
Joe Neguse,N000191,98,14
Raphael Warnock,W000790,98,15
Angus S. King,K000383,96,16
Eleanor Holmes Norton,N000147,95,17
Jeanne Shaheen,S001181,92,18
Catherine Cortez Masto,C001113,89,19
Jim Costa,C001059,89,20
Richard Blumenthal,B001277,87,21
Jill N. Tokuda,T000487,86,22
Susie Lee,L000590,86,23
Gary Peters,P000595,85,24
Mark Kelly,K000377,85,25
Nikki Budzinski,B001315,83,26
Darren Soto,S001200,81,27
Suzan K. DelBene,D000617,81,28
Terri A. Sewell,S001185,81,29
Sharice Davids,D000629,80,30
Salud O. Carbajal,C001112,79,31
Susan M. Collins,C001035,79,32
Raja Krishnamoorthi,K000391,77,33
Zachary Nunn,N000193,76,34
Debbie Dingell,D000624,75,35
Josh Riley,R000622,74,36
Deborah K. Ross,R000305,74,37
Chris Pappas,P000614,74,38
Chrissy Houlahan,H001085,73,39
Ruben Gallego,G000574,73,40
Bradley Scott Schneider,S001190,73,41
Brittany Pettersen,P000620,73,42
Christopher R. Deluzio,D000530,72,43
Dina Titus,T000468,72,44
Eric Sorensen,S001225,71,45
Mark R. Warner,W000805,70,46
John W. Hickenlooper,H000273,70,47
Jared F. Golden,G000592,70,48
Julia Brownley,B001285,69,49
Gabe Vasquez,V000136,69,50
Cory Booker,B001288,69,51
John K. Fetterman,F000479,68,52
Sarah McBride,M001238,67,53
Alex Padilla,P000145,67,54
Shri Thanedar,T000488,67,55
Young Kim,K000397,67,56
Jared Moskowitz,M001217,66,57
Michael Bennet,B001267,66,58
Marc A. Veasey,V000131,66,59
Paul Tonko,T000469,66,60
Seth Moulton,M001196,65,61
Tina Smith,S001203,65,62
Jason Crow,C001121,64,63
Marie Gluesenkamp Perez,G000600,64,64
Timothy M. Kaine,K000384,64,65
Hillary J. Scholten,S001221,64,66
Laura Gillen,G000602,63,67
Peter Welch,W000800,63,68
Thomas Roland Tillis,T000476,62,69
Henry Cuellar,C001063,61,70
Joseph D. Morelle,M001206,61,71
Steve Cohen,C001068,59,72
Greg Landsman,L000601,59,73
Ed Case,C001055,58,74
Jacky Rosen,R000608,58,75
Troy A. Carter,C001125,58,76
Ben R. LujÃ¡n,L000570,57,77
Kim Schrier,S001216,57,78
Sanford D. Bishop,B000490,57,79
Lisa Murkowski,M001153,56,80
Ted Lieu,L000582,55,81
Suzanne Bonamici,B001278,54,82
Ritchie Torres,T000486,53,83
Debbie Wasserman Schultz,W000797,53,84
Richard J. Durbin,D000563,52,85
Frank J. Mrvan,M001214,52,86
Bill Cassidy,C001075,52,87
Tammy Baldwin,B001230,52,88
Jennifer A. Kiggans,K000399,52,89
Sheldon Whitehouse,W000802,51,90
Seth Magaziner,M001223,50,91
