Name,Chamber,bioguide_id,Party,Cook_PVI_Party,Cook_PVI_Number,PVI_Party_Diff
Mark B. Messmer,House,M001233,Republican,R,18,False
Delia C. Ramirez,House,R000617,Democratic,D,17,False
LaMonica McIver,House,M001229,Democratic,D,27,False
Chrissy Houlahan,House,H001085,Democratic,D,6,False
Robert Menendez,House,M001226,Democratic,D,15,False
Valerie P. Foushee,House,F000477,Democratic,D,23,False
Shri Thanedar,House,T000488,Democratic,D,22,False
Jimmy Patronis,House,P000622,Republican,R,18,False
Randy Fine,House,F000484,Republican,R,14,False
Hillary J. Scholten,House,S001221,Democratic,D,4,False
Mike Johnson,House,J000299,Republican,R,26,False
Emily Randall,House,R000621,Democratic,D,10,False
Riley M. Moore,House,M001235,Republican,R,20,False
Michael Baumgartner,House,B001322,Republican,R,5,False
Tony Wied,House,W000829,Republican,R,8,False
Derrick Van Orden,House,V000135,Republican,R,3,False
Marie Gluesenkamp Perez,House,G000600,Democratic,R,0,True
Harriet M. Hageman,House,H001096,Republican,R,23,False
Becca Balint,House,B001318,Democratic,D,17,False
Marilyn Strickland,House,S001159,Democratic,D,9,False
Scott Fitzgerald,House,F000471,Republican,R,11,False
Thomas P. Tiffany,House,T000165,Republican,R,11,False
Carol D. Miller,House,M001205,Republican,R,22,False
Bryan Steil,House,S001213,Republican,R,2,False
Kim Schrier,House,S001216,Democratic,D,3,False
Pramila Jayapal,House,J000298,Democratic,D,39,False
Glenn Grothman,House,G000576,Republican,R,8,False
Dan Newhouse,House,N000189,Republican,R,10,False
Mark Pocan,House,P000607,Democratic,D,21,False
Suzan K. DelBene,House,D000617,Democratic,D,15,False
Adam Smith,House,S000510,Democratic,D,22,False
Gwen Moore,House,M001160,Democratic,D,26,False
Rick Larsen,House,L000560,Democratic,D,12,False
Eugene Simon Vindman,House,V000138,Democratic,D,2,False
Suhas Subramanyam,House,S001230,Democratic,D,6,False
John J. McGuire,House,M001239,Republican,R,6,False
Mike Kennedy,House,K000403,Republican,R,10,False
Julie Johnson,House,J000310,Democratic,D,13,False
Brandon Gill,House,G000603,Republican,R,11,False
Celeste Maloy,House,M001228,Republican,R,10,False
Jennifer L. McClellan,House,M001227,Democratic,D,17,False
Jennifer A. Kiggans,House,K000399,Republican,EVEN,0,True
Wesley Hunt,House,H001095,Republican,R,10,False
Jasmine Crockett,House,C001130,Democratic,D,25,False
Greg Casar,House,C001131,Democratic,D,19,False
Beth Van Duyne,House,V000134,Republican,R,7,False
Burgess Owens,House,O000086,Republican,R,14,False
Troy E. Nehls,House,N000026,Republican,R,9,False
Blake D. Moore,House,M001213,Republican,R,10,False
Tony Gonzales,House,G000594,Republican,R,7,False
Ben Cline,House,C001118,Republican,R,12,False
Sylvia R. Garcia,House,G000587,Democratic,D,12,False
Chip Roy,House,R000614,Republican,R,11,False
Michael Cloud,House,C001115,Republican,R,14,False
Vicente Gonzalez,House,G000581,Democratic,EVEN,0,True
Donald S. Beyer,House,B001292,Democratic,D,26,False
Brian Babin,House,B001291,Republican,R,18,False
Marc A. Veasey,House,V000131,Democratic,D,19,False
Roger Williams,House,W000816,Republican,R,18,False
Robert J. Wittman,House,W000804,Republican,R,3,False
H. Morgan Griffith,House,G000568,Republican,R,22,False
"Robert C. ""Bobby"" Scott",House,S000185,Democratic,D,18,False
Henry Cuellar,House,C001063,Democratic,R,0,True
John R. Carter,House,C001051,Republican,R,11,False
Lloyd Doggett,House,D000399,Democratic,D,26,False
Craig A. Goldman,House,G000601,Republican,R,11,False
Sheri Biggs,House,B001325,Republican,R,21,False
Keith Self,House,S001224,Republican,R,10,False
Andrew Ogles,House,O000175,Republican,R,8,False
Nathaniel Moran,House,M001224,Republican,R,25,False
Morgan Luttrell,House,L000603,Republican,R,16,False
Russell Fry,House,F000478,Republican,R,12,False
Monica De La Cruz,House,D000594,Republican,R,7,False
Jake Ellzey,House,E000071,Republican,R,14,False
August Pfluger,House,P000048,Republican,R,22,False
Ronny Jackson,House,J000304,Republican,R,24,False
Diana Harshbarger,House,H001086,Republican,R,29,False
Pat Fallon,House,F000246,Republican,R,16,False
Veronica Escobar,House,E000299,Democratic,D,11,False
Lizzie Fletcher,House,F000468,Democratic,D,12,False
Lance Gooden,House,G000589,Republican,R,13,False
Dan Crenshaw,House,C001120,Republican,R,12,False
John W. Rose,House,R000612,Republican,R,17,False
Tim Burchett,House,B001309,Republican,R,17,False
Dusty Johnson,House,J000301,Republican,R,15,False
William R. Timmons,House,T000480,Republican,R,11,False
Ralph Norman,House,N000190,Republican,R,11,False
Jodey C. Arrington,House,A000375,Republican,R,25,False
David Kustoff,House,K000392,Republican,R,21,False
Joaquin Castro,House,C001091,Democratic,D,12,False
Randy K. Sr. Weber,House,W000814,Republican,R,17,False
Scott DesJarlais,House,D000616,Republican,R,21,False
"Charles J. ""Chuck"" Fleischmann",House,F000459,Republican,R,18,False
Steve Cohen,House,C001068,Democratic,D,23,False
Pete Sessions,House,S000250,Republican,R,14,False
Michael T. McCaul,House,M001157,Republican,R,12,False
Al Green,House,G000553,Democratic,D,24,False
James E. Clyburn,House,C000537,Democratic,D,13,False
Ryan Mackenzie,House,M001230,Republican,R,1,False
Maxine Dexter,House,D000635,Democratic,D,24,False
Robert P. Bresnahan,House,B001327,Republican,R,4,False
Janelle S. Bynum,House,B001326,Democratic,D,4,False
Gabe Amo,House,A000380,Democratic,D,12,False
Andrea Salinas,House,S001226,Democratic,D,6,False
Seth Magaziner,House,M001223,Democratic,D,4,False
Summer L. Lee,House,L000602,Democratic,D,10,False
Val T. Hoyle,House,H001094,Democratic,D,6,False
Christopher R. Deluzio,House,D000530,Democratic,D,3,False
Josh Brecheen,House,B001317,Republican,R,28,False
Nancy Mace,House,M000194,Republican,R,6,False
Stephanie I. Bice,House,B000740,Republican,R,9,False
Cliff Bentz,House,B000668,Republican,R,14,False
Guy Reschenthaler,House,R000610,Republican,R,17,False
John Joyce,House,J000302,Republican,R,23,False
Daniel Meuser,House,M001204,Republican,R,19,False
Madeleine Dean,House,D000631,Democratic,D,8,False
Kevin Hern,House,H001082,Republican,R,11,False
Mary Gay Scanlon,House,S001205,Democratic,D,15,False
Lloyd Smucker,House,S001199,Republican,R,11,False
Brian K. Fitzpatrick,House,F000466,Republican,D,0,True
Dwight Evans,House,E000296,Democratic,D,40,False
Brendan F. Boyle,House,B001296,Democratic,D,19,False
Scott Perry,House,P000605,Republican,R,3,False
Suzanne Bonamici,House,B001278,Democratic,D,20,False
Mike Kelly,House,K000376,Republican,R,11,False
Glenn Thompson,House,T000467,Republican,R,19,False
Frank D. Lucas,House,L000491,Republican,R,23,False
Tom Cole,House,C001053,Republican,R,17,False
Joe Wilson,House,W000795,Republican,R,7,False
David J. Taylor,House,T000490,Republican,R,24,False
Josh Riley,House,R000622,Democratic,D,1,False
John W. Mannion,House,M001231,Democratic,D,4,False
George Latimer,House,L000606,Democratic,D,18,False
Michael A. Rulli,House,R000619,Republican,R,16,False
Timothy M. Kennedy,House,K000402,Democratic,D,11,False
Emilia Strong Sykes,House,S001223,Democratic,EVEN,0,True
Max L. Miller,House,M001222,Republican,R,5,False
Michael Lawler,House,L000599,Republican,D,0,True
Nicholas A. Langworthy,House,L000600,Republican,R,10,False
Greg Landsman,House,L000601,Democratic,D,3,False
Patrick Ryan,House,R000579,Democratic,D,2,False
Mike Carey,House,C001126,Republican,R,4,False
