Name,bioguide_id,nominate_dim1,ideology_dist
Mike D. Rogers,R000575,0.379,0.379
Terri A. Sewell,S001185,-0.4,0.4
Gary J. Palmer,P000609,0.675,0.675
Barry Moore,M001212,0.645,0.645
Dale W. Strong,S001220,0.615,0.615
Shomari Figures,F000481,-0.369,0.369
Robert B. Aderholt,A000055,0.405,0.405
Nicholas J. Begich,B001323,0.612,0.612
Paul A. Gosar,G000565,0.703,0.703
David Schweikert,S001183,0.553,0.553
Andy Biggs,B001302,0.818,0.818
Greg Stanton,S001211,-0.276,0.276
Juan Ciscomani,C001133,0.29,0.29
Elijah Crane,C001132,0.753,0.753
Yassamin Ansari,A000381,-0.643,0.643
Abraham J. Hamadeh,H001098,0.674,0.674
"Eric A. ""Rick"" Crawford",C001087,0.46,0.46
Steve Womack,W000809,0.348,0.348
J. French Hill,H001072,0.437,0.437
Bruce Westerman,W000821,0.546,0.546
Nancy Pelosi,P000197,-0.489,0.489
Darrell Issa,I000056,0.478,0.478
Linda T. Sánchez,S001156,-0.508,0.508
Jim Costa,C001059,-0.198,0.198
Doris O. Matsui,M001163,-0.434,0.434
Tom McClintock,M001177,0.671,0.671
Judy Chu,C001080,-0.482,0.482
John Garamendi,G000559,-0.314,0.314
Doug LaMalfa,L000578,0.54,0.54
Jared Huffman,H001068,-0.431,0.431
Ami Bera,B001287,-0.247,0.247
Eric Swalwell,S001193,-0.355,0.355
David G. Valadao,V000129,0.258,0.258
Julia Brownley,B001285,-0.303,0.303
Raul Ruiz,R000599,-0.259,0.259
Mark Takano,T000472,-0.458,0.458
Juan Vargas,V000130,-0.398,0.398
Scott H. Peters,P000608,-0.193,0.193
Mark DeSaulnier,D000623,-0.514,0.514
Pete Aguilar,A000371,-0.323,0.323
Ted Lieu,L000582,-0.374,0.374
Norma J. Torres,T000474,-0.369,0.369
Nanette Diaz Barragán,B001300,-0.502,0.502
Salud O. Carbajal,C001112,-0.325,0.325
J. Luis Correa,C001110,-0.286,0.286
Ro Khanna,K000389,-0.456,0.456
Jimmy Panetta,P000613,-0.29,0.29
Jimmy Gomez,G000585,-0.526,0.526
Gilbert Ray Cisneros,C001123,-0.481,0.481
Josh Harder,H001090,-0.298,0.298
Mike Levin,L000593,-0.317,0.317
Sara Jacobs,J000305,-0.405,0.405
Young Kim,K000397,0.255,0.255
Jay Obernolte,O000019,0.316,0.316
Robert Garcia,G000598,-0.377,0.377
Sydney Kamlager-Dove,K000400,-0.526,0.526
Kevin Kiley,K000401,0.252,0.252
Kevin Mullin,M001225,-0.5,0.5
Vince Fong,F000480,0.461,0.461
Laura Friedman,F000483,-0.385,0.385
Adam Gray,G000605,-0.247,0.247
Sam T. Liccardo,L000607,-0.379,0.379
Dave Min,M001241,-0.234,0.234
Luz M. Rivas,R000620,-0.667,0.667
Lateefah Simon,S001231,-0.94,0.94
Derek Tran,T000491,-0.253,0.253
George Whitesides,W000830,-0.189,0.189
Maxine Waters,W000187,-0.656,0.656
Ken Calvert,C000059,0.339,0.339
Zoe Lofgren,L000397,-0.397,0.397
Brad Sherman,S000344,-0.344,0.344
Mike Thompson,T000460,-0.392,0.392
Jason Crow,C001121,-0.356,0.356
Joe Neguse,N000191,-0.426,0.426
Lauren Boebert,B000825,0.736,0.736
Brittany Pettersen,P000620,-0.365,0.365
Jeff Crank,C001137,0.745,0.745
Gabe Evans,E000300,0.373,0.373
Jeff Hurd,H001100,0.375,0.375
Diana DeGette,D000197,-0.431,0.431
Joe Courtney,C001069,-0.337,0.337
James A. Himes,H001047,-0.241,0.241
Jahana Hayes,H001081,-0.327,0.327
Rosa L. DeLauro,D000216,-0.414,0.414
John B. Larson,L000557,-0.396,0.396
Sarah McBride,M001238,-0.245,0.245
Mario Diaz-Balart,D000600,0.281,0.281
Debbie Wasserman Schultz,W000797,-0.415,0.415
Kathy Castor,C001066,-0.438,0.438
Vern Buchanan,B001260,0.361,0.361
Gus M. Bilirakis,B001257,0.423,0.423
Daniel Webster,W000806,0.524,0.524
Frederica S. Wilson,W000808,-0.477,0.477
Lois Frankel,F000462,-0.396,0.396
Neal P. Dunn,D000628,0.507,0.507
Brian J. Mast,M001199,0.462,0.462
John H. Rutherford,R000609,0.431,0.431
Darren Soto,S001200,-0.349,0.349
W. Gregory Steube,S001214,0.693,0.693
Kat Cammack,C001039,0.592,0.592
Byron Donalds,D000032,0.647,0.647
Scott Franklin,F000472,0.624,0.624
Carlos A. Gimenez,G000593,0.331,0.331
