Name,bioguide_id,nominate_dim1,ideology_dist
Tommy Tuberville,T000278,0.936,0.936
Katie Boyd Britt,B001319,0.585,0.585
Lisa Murkowski,M001153,0.204,0.204
Dan Sullivan,S001198,0.476,0.476
Ruben Gallego,G000574,-0.359,0.359
Mark Kelly,K000377,-0.257,0.257
John Boozman,B001236,0.427,0.427
Tom Cotton,C001095,0.58,0.58
Adam B. Schiff,S001150,-0.353,0.353
Alex Padilla,P000145,-0.422,0.422
Michael F. Bennet,B001267,-0.236,0.236
John W. Hickenlooper,H000273,-0.263,0.263
Christopher Murphy,M001169,-0.284,0.284
Richard Blumenthal,B001277,-0.433,0.433
Lisa Blunt Rochester,B001303,-0.38,0.38
Christopher A. Coons,C001088,-0.236,0.236
Rick Scott,S001217,0.717,0.717
Ashley Moody,M001244,0.733,0.733
Jon Ossoff,O000174,-0.454,0.454
Raphael G. Warnock,W000790,-0.418,0.418
Mazie K. Hirono,H001042,-0.515,0.515
Brian Schatz,S001194,-0.447,0.447
Mike Crapo,C000880,0.504,0.504
James E. Risch,R000584,0.551,0.551
Richard J. Durbin,D000563,-0.345,0.345
Tammy Duckworth,D000622,-0.343,0.343
Todd Young,Y000064,0.438,0.438
Jim Banks,B001299,0.647,0.647
Chuck Grassley,G000386,0.362,0.362
Joni Ernst,E000295,0.538,0.538
Roger Marshall,M001198,0.606,0.606
Jerry Moran,M000934,0.414,0.414
Mitch McConnell,M000355,0.403,0.403
Rand Paul,P000603,0.891,0.891
Bill Cassidy,C001075,0.464,0.464
John Kennedy,K000393,0.56,0.56
Angus S. King,K000383,-0.169,0.169
Susan M. Collins,C001035,0.122,0.122
Chris Van Hollen,V000128,-0.397,0.397
Angela D. Alsobrooks,A000382,-0.433,0.433
Edward J. Markey,M000133,-0.517,0.517
Elizabeth Warren,W000817,-0.744,0.744
Gary C. Peters,P000595,-0.248,0.248
Elissa Slotkin,S001208,-0.346,0.346
Amy Klobuchar,K000367,-0.278,0.278
Tina Smith,S001203,-0.406,0.406
Roger F. Wicker,W000437,0.377,0.377
Cindy Hyde-Smith,H001079,0.452,0.452
Josh Hawley,H001089,0.832,0.832
Eric Schmitt,S001227,0.92,0.92
Steve Daines,D000618,0.59,0.59
Tim Sheehy,S001232,0.666,0.666
Deb Fischer,F000463,0.461,0.461
Pete Ricketts,R000618,0.437,0.437
Jacky Rosen,R000608,-0.285,0.285
Catherine Cortez Masto,C001113,-0.356,0.356
Jeanne Shaheen,S001181,-0.225,0.225
Margaret Wood Hassan,H001076,-0.229,0.229
Andy Kim,K000394,-0.399,0.399
Cory A. Booker,B001288,-0.555,0.555
Martin Heinrich,H001046,-0.333,0.333
Ben Ray Luján,L000570,-0.378,0.378
Charles E. Schumer,S000148,-0.355,0.355
Kirsten E. Gillibrand,G000555,-0.451,0.451
Ted Budd,B001305,0.633,0.633
Thomas Tillis,T000476,0.388,0.388
Kevin Cramer,C001096,0.398,0.398
John Hoeven,H001061,0.399,0.399
Bernie Moreno,M001242,0.767,0.767
Jon Husted,H001104,0.717,0.717
James Lankford,L000575,0.591,0.591
Markwayne Mullin,M001190,0.533,0.533
Ron Wyden,W000779,-0.332,0.332
Jeff Merkley,M001176,-0.452,0.452
John Fetterman,F000479,-0.192,0.192
David McCormick,M001243,0.557,0.557
Jack Reed,R000122,-0.361,0.361
Sheldon Whitehouse,W000802,-0.354,0.354
Tim Scott,S001184,0.629,0.629
Lindsey Graham,G000359,0.367,0.367
John Thune,T000250,0.433,0.433
Mike Rounds,R000605,0.353,0.353
Marsha Blackburn,B001243,0.632,0.632
Bill Hagerty,H000601,0.681,0.681
John Cornyn,C001056,0.47,0.47
Ted Cruz,C001098,0.78,0.78
John R. Curtis,C001114,0.449,0.449
Mike Lee,L000577,0.891,0.891
Peter Welch,W000800,-0.407,0.407
Bernard Sanders,S000033,-0.544,0.544
Mark R. Warner,W000805,-0.208,0.208
Tim Kaine,K000384,-0.243,0.243
Maria Cantwell,C000127,-0.306,0.306
Patty Murray,M001111,-0.355,0.355
Shelley Moore Capito,C001047,0.283,0.283
James C. Justice,J000312,0.664,0.664
Tammy Baldwin,B001230,-0.487,0.487
Ron Johnson,J000293,0.641,0.641
Cynthia M. Lummis,L000571,0.686,0.686
John Barrasso,B001261,0.539,0.539
